instant,date,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_users,hour_interval
36,2011-01-02,spring,2011,January,12,no,sunday,no,2,0.36,0.3333,0.66,0.2985,20,73,93,12 - 13
37,2011-01-02,spring,2011,January,13,no,sunday,no,2,0.36,0.3485,0.66,0.1343,11,64,75,13 - 14
38,2011-01-02,spring,2011,January,14,no,sunday,no,3,0.36,0.3485,0.76,0.194,4,55,59,14 - 15
39,2011-01-02,spring,2011,January,15,no,sunday,no,3,0.34,0.3333,0.81,0.1642,19,55,74,15 - 16
40,2011-01-02,spring,2011,January,16,no,sunday,no,3,0.34,0.3333,0.71,0.1642,9,67,76,16 - 17
41,2011-01-02,spring,2011,January,17,no,sunday,no,1,0.34,0.3333,0.57,0.194,7,58,65,17 - 18
42,2011-01-02,spring,2011,January,18,no,sunday,no,2,0.36,0.3333,0.46,0.3284,10,43,53,18 - 19
43,2011-01-02,spring,2011,January,19,no,sunday,no,1,0.32,0.2879,0.42,0.4478,1,29,30,19 - 20
44,2011-01-02,spring,2011,January,20,no,sunday,no,1,0.3,0.2727,0.39,0.3582,5,17,22,20 - 21
45,2011-01-02,spring,2011,January,21,no,sunday,no,1,0.26,0.2273,0.44,0.3284,11,20,31,21 - 22
46,2011-01-02,spring,2011,January,22,no,sunday,no,1,0.24,0.2121,0.44,0.2985,0,9,9,22 - 23
47,2011-01-02,spring,2011,January,23,no,sunday,no,1,0.22,0.2273,0.47,0.1642,0,8,8,23 - 24
48,2011-01-03,spring,2011,January,0,no,monday,yes,1,0.22,0.197,0.44,0.3582,0,5,5,0 - 1
49,2011-01-03,spring,2011,January,1,no,monday,yes,1,0.2,0.1667,0.44,0.4179,0,2,2,1 - 2
50,2011-01-03,spring,2011,January,4,no,monday,yes,1,0.16,0.1364,0.47,0.3881,0,1,1,4 - 5
51,2011-01-03,spring,2011,January,5,no,monday,yes,1,0.16,0.1364,0.47,0.2836,0,3,3,5 - 6
52,2011-01-03,spring,2011,January,6,no,monday,yes,1,0.14,0.1061,0.5,0.3881,0,30,30,6 - 7
53,2011-01-03,spring,2011,January,7,no,monday,yes,1,0.14,0.1364,0.5,0.194,1,63,64,7 - 8
54,2011-01-03,spring,2011,January,8,no,monday,yes,1,0.14,0.1212,0.5,0.2836,1,153,154,8 - 9
55,2011-01-03,spring,2011,January,9,no,monday,yes,1,0.16,0.1364,0.43,0.3881,7,81,88,9 - 10
56,2011-01-03,spring,2011,January,10,no,monday,yes,1,0.18,0.1667,0.43,0.2537,11,33,44,10 - 11
57,2011-01-03,spring,2011,January,11,no,monday,yes,1,0.2,0.1818,0.4,0.3284,10,41,51,11 - 12
58,2011-01-03,spring,2011,January,12,no,monday,yes,1,0.22,0.2121,0.35,0.2985,13,48,61,12 - 13
59,2011-01-03,spring,2011,January,13,no,monday,yes,1,0.24,0.2121,0.35,0.2836,8,53,61,13 - 14
60,2011-01-03,spring,2011,January,14,no,monday,yes,1,0.26,0.2424,0.3,0.2836,11,66,77,14 - 15
61,2011-01-03,spring,2011,January,15,no,monday,yes,1,0.26,0.2424,0.3,0.2537,14,58,72,15 - 16
62,2011-01-03,spring,2011,January,16,no,monday,yes,1,0.26,0.2424,0.3,0.2537,9,67,76,16 - 17
63,2011-01-03,spring,2011,January,17,no,monday,yes,1,0.24,0.2273,0.3,0.2239,11,146,157,17 - 18
64,2011-01-03,spring,2011,January,18,no,monday,yes,1,0.24,0.2576,0.32,0.1045,9,148,157,18 - 19
65,2011-01-03,spring,2011,January,19,no,monday,yes,1,0.2,0.2576,0.47,0.0,8,102,110,19 - 20
66,2011-01-03,spring,2011,January,20,no,monday,yes,1,0.2,0.2273,0.47,0.1045,3,49,52,20 - 21
67,2011-01-03,spring,2011,January,21,no,monday,yes,1,0.18,0.197,0.64,0.1343,3,49,52,21 - 22
68,2011-01-03,spring,2011,January,22,no,monday,yes,1,0.14,0.1515,0.69,0.1343,0,20,20,22 - 23
69,2011-01-03,spring,2011,January,23,no,monday,yes,1,0.18,0.2121,0.55,0.1045,1,11,12,23 - 24
70,2011-01-04,spring,2011,January,0,no,tuesday,yes,1,0.16,0.1818,0.55,0.1045,0,5,5,0 - 1
71,2011-01-04,spring,2011,January,1,no,tuesday,yes,1,0.16,0.1818,0.59,0.1045,0,2,2,1 - 2
72,2011-01-04,spring,2011,January,2,no,tuesday,yes,1,0.14,0.1515,0.63,0.1343,0,1,1,2 - 3
73,2011-01-04,spring,2011,January,4,no,tuesday,yes,1,0.14,0.1818,0.63,0.0896,0,2,2,4 - 5
74,2011-01-04,spring,2011,January,5,no,tuesday,yes,1,0.12,0.1515,0.68,0.1045,0,4,4,5 - 6
75,2011-01-04,spring,2011,January,6,no,tuesday,yes,1,0.12,0.1515,0.74,0.1045,0,36,36,6 - 7
76,2011-01-04,spring,2011,January,7,no,tuesday,yes,1,0.12,0.1515,0.74,0.1343,2,92,94,7 - 8
77,2011-01-04,spring,2011,January,8,no,tuesday,yes,1,0.14,0.1515,0.69,0.1642,2,177,179,8 - 9
78,2011-01-04,spring,2011,January,9,no,tuesday,yes,1,0.16,0.1515,0.64,0.2239,2,98,100,9 - 10
79,2011-01-04,spring,2011,January,10,no,tuesday,yes,2,0.16,0.1364,0.69,0.3284,5,37,42,10 - 11
80,2011-01-04,spring,2011,January,11,no,tuesday,yes,1,0.22,0.2121,0.51,0.2985,7,50,57,11 - 12
81,2011-01-04,spring,2011,January,12,no,tuesday,yes,1,0.22,0.2273,0.51,0.1642,12,66,78,12 - 13
82,2011-01-04,spring,2011,January,13,no,tuesday,yes,1,0.24,0.2273,0.56,0.194,18,79,97,13 - 14
83,2011-01-04,spring,2011,January,14,no,tuesday,yes,1,0.26,0.2576,0.52,0.2239,9,54,63,14 - 15
84,2011-01-04,spring,2011,January,15,no,tuesday,yes,1,0.28,0.2727,0.52,0.2537,17,48,65,15 - 16
85,2011-01-04,spring,2011,January,16,no,tuesday,yes,1,0.3,0.2879,0.49,0.2537,15,68,83,16 - 17
86,2011-01-04,spring,2011,January,17,no,tuesday,yes,1,0.28,0.2727,0.48,0.2239,10,202,212,17 - 18
87,2011-01-04,spring,2011,January,18,no,tuesday,yes,1,0.26,0.2576,0.48,0.194,3,179,182,18 - 19
88,2011-01-04,spring,2011,January,19,no,tuesday,yes,1,0.24,0.2576,0.48,0.1045,2,110,112,19 - 20
89,2011-01-04,spring,2011,January,20,no,tuesday,yes,1,0.24,0.2576,0.48,0.1045,1,53,54,20 - 21
90,2011-01-04,spring,2011,January,21,no,tuesday,yes,1,0.22,0.2727,0.64,0.0,0,48,48,21 - 22
91,2011-01-04,spring,2011,January,22,no,tuesday,yes,1,0.22,0.2576,0.64,0.0896,1,34,35,22 - 23
92,2011-01-04,spring,2011,January,23,no,tuesday,yes,1,0.2,0.2273,0.69,0.0896,2,9,11,23 - 24
93,2011-01-05,spring,2011,January,0,no,wednesday,yes,1,0.2,0.2576,0.64,0.0,0,6,6,0 - 1
94,2011-01-05,spring,2011,January,1,no,wednesday,yes,1,0.16,0.197,0.74,0.0896,0,6,6,1 - 2
95,2011-01-05,spring,2011,January,2,no,wednesday,yes,1,0.16,0.197,0.74,0.0896,0,2,2,2 - 3
96,2011-01-05,spring,2011,January,4,no,wednesday,yes,1,0.24,0.2273,0.48,0.2239,0,2,2,4 - 5
97,2011-01-05,spring,2011,January,5,no,wednesday,yes,1,0.22,0.2273,0.47,0.1642,0,3,3,5 - 6
98,2011-01-05,spring,2011,January,6,no,wednesday,yes,1,0.2,0.197,0.47,0.2239,0,33,33,6 - 7
99,2011-01-05,spring,2011,January,7,no,wednesday,yes,1,0.18,0.1818,0.43,0.194,1,87,88,7 - 8
100,2011-01-05,spring,2011,January,8,no,wednesday,yes,1,0.2,0.1818,0.4,0.2985,3,192,195,8 - 9
101,2011-01-05,spring,2011,January,9,no,wednesday,yes,1,0.22,0.197,0.37,0.3284,6,109,115,9 - 10
102,2011-01-05,spring,2011,January,10,no,wednesday,yes,1,0.22,0.197,0.37,0.3284,4,53,57,10 - 11
103,2011-01-05,spring,2011,January,11,no,wednesday,yes,1,0.26,0.2273,0.33,0.3284,12,34,46,11 - 12
104,2011-01-05,spring,2011,January,12,no,wednesday,yes,1,0.26,0.2273,0.33,0.3284,5,74,79,12 - 13
105,2011-01-05,spring,2011,January,13,no,wednesday,yes,1,0.28,0.2576,0.3,0.2985,6,65,71,13 - 14
106,2011-01-05,spring,2011,January,14,no,wednesday,yes,1,0.3,0.2879,0.28,0.194,10,52,62,14 - 15
107,2011-01-05,spring,2011,January,15,no,wednesday,yes,1,0.3,0.2879,0.28,0.194,7,55,62,15 - 16
108,2011-01-05,spring,2011,January,16,no,wednesday,yes,1,0.3,0.3182,0.28,0.0896,4,85,89,16 - 17
109,2011-01-05,spring,2011,January,17,no,wednesday,yes,1,0.24,0.2273,0.38,0.194,4,186,190,17 - 18
110,2011-01-05,spring,2011,January,18,no,wednesday,yes,1,0.24,0.2424,0.38,0.1343,3,166,169,18 - 19
111,2011-01-05,spring,2011,January,19,no,wednesday,yes,1,0.24,0.2576,0.38,0.1045,5,127,132,19 - 20
112,2011-01-05,spring,2011,January,20,no,wednesday,yes,1,0.22,0.2273,0.47,0.1642,7,82,89,20 - 21
113,2011-01-05,spring,2011,January,21,no,wednesday,yes,1,0.2,0.197,0.51,0.194,3,40,43,21 - 22
114,2011-01-05,spring,2011,January,22,no,wednesday,yes,1,0.18,0.197,0.55,0.1343,1,41,42,22 - 23
115,2011-01-05,spring,2011,January,23,no,wednesday,yes,1,0.2,0.2576,0.47,0.0,1,18,19,23 - 24
116,2011-01-06,spring,2011,January,0,no,thursday,yes,1,0.18,0.2424,0.55,0.0,0,11,11,0 - 1
117,2011-01-06,spring,2011,January,1,no,thursday,yes,1,0.16,0.2273,0.64,0.0,0,4,4,1 - 2
118,2011-01-06,spring,2011,January,2,no,thursday,yes,1,0.16,0.2273,0.64,0.0,0,2,2,2 - 3
119,2011-01-06,spring,2011,January,4,no,thursday,yes,2,0.16,0.197,0.64,0.0896,0,1,1,4 - 5
120,2011-01-06,spring,2011,January,5,no,thursday,yes,2,0.14,0.1818,0.69,0.0896,0,4,4,5 - 6
121,2011-01-06,spring,2011,January,6,no,thursday,yes,2,0.14,0.1667,0.63,0.1045,0,36,36,6 - 7
122,2011-01-06,spring,2011,January,7,no,thursday,yes,2,0.16,0.2273,0.59,0.0,0,95,95,7 - 8
123,2011-01-06,spring,2011,January,8,no,thursday,yes,1,0.16,0.2273,0.59,0.0,3,216,219,8 - 9
124,2011-01-06,spring,2011,January,9,no,thursday,yes,2,0.18,0.2424,0.51,0.0,6,116,122,9 - 10
125,2011-01-06,spring,2011,January,10,no,thursday,yes,1,0.2,0.2576,0.47,0.0,3,42,45,10 - 11
126,2011-01-06,spring,2011,January,11,no,thursday,yes,1,0.22,0.2576,0.44,0.0896,2,57,59,11 - 12
127,2011-01-06,spring,2011,January,12,no,thursday,yes,1,0.26,0.2879,0.35,0.0,6,78,84,12 - 13
128,2011-01-06,spring,2011,January,13,no,thursday,yes,1,0.26,0.2727,0.35,0.1045,12,55,67,13 - 14
129,2011-01-06,spring,2011,January,14,no,thursday,yes,1,0.28,0.2727,0.36,0.1642,11,59,70,14 - 15
130,2011-01-06,spring,2011,January,15,no,thursday,yes,1,0.28,0.2727,0.36,0.0,8,54,62,15 - 16
131,2011-01-06,spring,2011,January,16,no,thursday,yes,1,0.26,0.2576,0.38,0.1642,12,74,86,16 - 17
132,2011-01-06,spring,2011,January,17,no,thursday,yes,1,0.22,0.2273,0.51,0.1642,9,163,172,17 - 18
133,2011-01-06,spring,2011,January,18,no,thursday,yes,1,0.22,0.2273,0.51,0.1343,5,158,163,18 - 19
134,2011-01-06,spring,2011,January,19,no,thursday,yes,1,0.22,0.2576,0.55,0.0896,3,109,112,19 - 20
135,2011-01-06,spring,2011,January,20,no,thursday,yes,1,0.2,0.2121,0.51,0.1642,3,66,69,20 - 21
136,2011-01-06,spring,2011,January,21,no,thursday,yes,2,0.22,0.2121,0.55,0.2239,0,48,48,21 - 22
137,2011-01-06,spring,2011,January,22,no,thursday,yes,2,0.22,0.2121,0.51,0.2836,1,51,52,22 - 23
138,2011-01-06,spring,2011,January,23,no,thursday,yes,2,0.2,0.197,0.59,0.194,4,19,23,23 - 24
139,2011-01-07,spring,2011,January,0,no,friday,yes,2,0.2,0.197,0.64,0.194,4,13,17,0 - 1
140,2011-01-07,spring,2011,January,1,no,friday,yes,2,0.2,0.197,0.69,0.2239,2,5,7,1 - 2
141,2011-01-07,spring,2011,January,2,no,friday,yes,2,0.2,0.197,0.69,0.2239,0,1,1,2 - 3
142,2011-01-07,spring,2011,January,4,no,friday,yes,2,0.2,0.2121,0.69,0.1343,0,1,1,4 - 5
143,2011-01-07,spring,2011,January,5,no,friday,yes,3,0.22,0.2727,0.55,0.0,0,5,5,5 - 6
144,2011-01-07,spring,2011,January,6,no,friday,yes,2,0.2,0.2576,0.69,0.0,8,26,34,6 - 7
145,2011-01-07,spring,2011,January,7,no,friday,yes,1,0.2,0.2121,0.69,0.1343,8,76,84,7 - 8
146,2011-01-07,spring,2011,January,8,no,friday,yes,1,0.2,0.197,0.51,0.2537,20,190,210,8 - 9
147,2011-01-07,spring,2011,January,9,no,friday,yes,1,0.2,0.1818,0.47,0.2985,9,125,134,9 - 10
148,2011-01-07,spring,2011,January,10,no,friday,yes,1,0.22,0.197,0.37,0.3284,16,47,63,10 - 11
149,2011-01-07,spring,2011,January,11,no,friday,yes,2,0.2,0.197,0.4,0.2239,19,48,67,11 - 12
150,2011-01-07,spring,2011,January,12,no,friday,yes,2,0.2,0.197,0.37,0.2537,9,50,59,12 - 13
151,2011-01-07,spring,2011,January,13,no,friday,yes,2,0.2,0.1818,0.37,0.2836,9,64,73,13 - 14
152,2011-01-07,spring,2011,January,14,no,friday,yes,2,0.2,0.197,0.4,0.2537,7,43,50,14 - 15
153,2011-01-07,spring,2011,January,15,no,friday,yes,2,0.2,0.2121,0.37,0.1642,9,63,72,15 - 16
154,2011-01-07,spring,2011,January,16,no,friday,yes,2,0.2,0.2121,0.37,0.1642,5,82,87,16 - 17
155,2011-01-07,spring,2011,January,17,no,friday,yes,2,0.2,0.2576,0.37,0.0,9,178,187,17 - 18
156,2011-01-07,spring,2011,January,18,no,friday,yes,1,0.2,0.2273,0.4,0.0896,7,116,123,18 - 19
157,2011-01-07,spring,2011,January,19,no,friday,yes,1,0.16,0.197,0.55,0.0896,3,92,95,19 - 20
158,2011-01-07,spring,2011,January,20,no,friday,yes,1,0.18,0.2121,0.47,0.1045,1,50,51,20 - 21
159,2011-01-07,spring,2011,January,21,no,friday,yes,1,0.18,0.197,0.47,0.1343,0,39,39,21 - 22
160,2011-01-07,spring,2011,January,22,no,friday,yes,2,0.18,0.197,0.43,0.1642,2,34,36,22 - 23
161,2011-01-07,spring,2011,January,23,no,friday,yes,2,0.18,0.197,0.51,0.1642,1,14,15,23 - 24
162,2011-01-08,spring,2011,January,0,no,saturday,no,2,0.18,0.197,0.51,0.1642,1,24,25,0 - 1
163,2011-01-08,spring,2011,January,1,no,saturday,no,2,0.18,0.2121,0.55,0.0896,1,15,16,1 - 2
164,2011-01-08,spring,2011,January,2,no,saturday,no,2,0.18,0.2424,0.55,0.0,3,13,16,2 - 3
165,2011-01-08,spring,2011,January,3,no,saturday,no,3,0.18,0.197,0.55,0.1642,0,7,7,3 - 4
166,2011-01-08,spring,2011,January,4,no,saturday,no,3,0.18,0.197,0.55,0.1642,0,1,1,4 - 5
167,2011-01-08,spring,2011,January,5,no,saturday,no,2,0.16,0.1667,0.74,0.1642,0,5,5,5 - 6
168,2011-01-08,spring,2011,January,6,no,saturday,no,2,0.16,0.1667,0.74,0.1642,0,2,2,6 - 7
169,2011-01-08,spring,2011,January,7,no,saturday,no,2,0.16,0.1818,0.74,0.1045,1,8,9,7 - 8
170,2011-01-08,spring,2011,January,8,no,saturday,no,3,0.16,0.1818,0.93,0.1045,0,15,15,8 - 9
171,2011-01-08,spring,2011,January,9,no,saturday,no,3,0.16,0.1818,0.93,0.1045,0,20,20,9 - 10
172,2011-01-08,spring,2011,January,10,no,saturday,no,2,0.18,0.197,0.8,0.1642,5,56,61,10 - 11
173,2011-01-08,spring,2011,January,11,no,saturday,no,2,0.2,0.1818,0.69,0.3881,2,60,62,11 - 12
174,2011-01-08,spring,2011,January,12,no,saturday,no,2,0.2,0.1818,0.59,0.3582,8,90,98,12 - 13
175,2011-01-08,spring,2011,January,13,no,saturday,no,1,0.2,0.1818,0.44,0.3284,7,95,102,13 - 14
176,2011-01-08,spring,2011,January,14,no,saturday,no,1,0.2,0.1667,0.32,0.4925,12,83,95,14 - 15
177,2011-01-08,spring,2011,January,15,no,saturday,no,1,0.2,0.1667,0.32,0.4478,5,69,74,15 - 16
178,2011-01-08,spring,2011,January,16,no,saturday,no,1,0.18,0.1364,0.29,0.4478,8,68,76,16 - 17
179,2011-01-08,spring,2011,January,17,no,saturday,no,1,0.16,0.1212,0.37,0.5522,5,64,69,17 - 18
180,2011-01-08,spring,2011,January,18,no,saturday,no,1,0.14,0.1212,0.39,0.2985,3,52,55,18 - 19
181,2011-01-08,spring,2011,January,19,no,saturday,no,1,0.14,0.1212,0.36,0.2537,4,26,30,19 - 20
182,2011-01-08,spring,2011,January,20,no,saturday,no,1,0.12,0.1212,0.36,0.2537,0,28,28,20 - 21
183,2011-01-08,spring,2011,January,21,no,saturday,no,1,0.12,0.1061,0.39,0.3582,2,35,37,21 - 22
184,2011-01-08,spring,2011,January,22,no,saturday,no,1,0.12,0.1061,0.36,0.3881,1,33,34,22 - 23
185,2011-01-08,spring,2011,January,23,no,saturday,no,1,0.1,0.0606,0.39,0.4478,0,22,22,23 - 24
186,2011-01-09,spring,2011,January,0,no,sunday,no,1,0.1,0.0758,0.42,0.3881,1,24,25,0 - 1
187,2011-01-09,spring,2011,January,1,no,sunday,no,1,0.1,0.0606,0.42,0.4627,0,12,12,1 - 2
188,2011-01-09,spring,2011,January,2,no,sunday,no,1,0.1,0.0606,0.46,0.4627,0,11,11,2 - 3
189,2011-01-09,spring,2011,January,3,no,sunday,no,1,0.1,0.0758,0.46,0.4179,0,4,4,3 - 4
190,2011-01-09,spring,2011,January,4,no,sunday,no,1,0.08,0.0909,0.53,0.194,0,1,1,4 - 5
191,2011-01-09,spring,2011,January,5,no,sunday,no,1,0.08,0.0909,0.53,0.194,0,1,1,5 - 6
192,2011-01-09,spring,2011,January,6,no,sunday,no,1,0.1,0.0909,0.49,0.2836,0,1,1,6 - 7
193,2011-01-09,spring,2011,January,7,no,sunday,no,1,0.08,0.0909,0.53,0.194,1,5,6,7 - 8
194,2011-01-09,spring,2011,January,8,no,sunday,no,1,0.1,0.0909,0.49,0.2836,0,10,10,8 - 9
195,2011-01-09,spring,2011,January,9,no,sunday,no,1,0.12,0.0758,0.46,0.5224,0,19,19,9 - 10
196,2011-01-09,spring,2011,January,10,no,sunday,no,1,0.14,0.1061,0.43,0.3881,0,49,49,10 - 11
197,2011-01-09,spring,2011,January,11,no,sunday,no,1,0.16,0.1212,0.4,0.5224,2,47,49,11 - 12
198,2011-01-09,spring,2011,January,12,no,sunday,no,1,0.18,0.1364,0.37,0.4478,4,79,83,12 - 13
199,2011-01-09,spring,2011,January,13,no,sunday,no,1,0.2,0.1667,0.34,0.4478,6,69,75,13 - 14
200,2011-01-09,spring,2011,January,14,no,sunday,no,1,0.22,0.1818,0.32,0.4627,8,64,72,14 - 15
201,2011-01-09,spring,2011,January,15,no,sunday,no,1,0.22,0.197,0.35,0.3582,5,77,82,15 - 16
202,2011-01-09,spring,2011,January,16,no,sunday,no,1,0.2,0.1667,0.34,0.4478,13,79,92,16 - 17
203,2011-01-09,spring,2011,January,17,no,sunday,no,1,0.18,0.1515,0.37,0.3881,3,59,62,17 - 18
204,2011-01-09,spring,2011,January,18,no,sunday,no,1,0.16,0.1364,0.4,0.3284,4,44,48,18 - 19
205,2011-01-09,spring,2011,January,19,no,sunday,no,1,0.16,0.1364,0.43,0.3284,1,40,41,19 - 20
206,2011-01-09,spring,2011,January,20,no,sunday,no,1,0.14,0.1212,0.46,0.2537,0,38,38,20 - 21
207,2011-01-09,spring,2011,January,21,no,sunday,no,1,0.14,0.1061,0.46,0.4179,1,19,20,21 - 22
208,2011-01-09,spring,2011,January,22,no,sunday,no,1,0.14,0.1212,0.46,0.2985,5,10,15,22 - 23
209,2011-01-09,spring,2011,January,23,no,sunday,no,1,0.12,0.1364,0.5,0.194,0,6,6,23 - 24
210,2011-01-10,spring,2011,January,0,no,monday,yes,1,0.12,0.1212,0.5,0.2836,2,3,5,0 - 1
211,2011-01-10,spring,2011,January,1,no,monday,yes,1,0.12,0.1212,0.5,0.2836,1,0,1,1 - 2
212,2011-01-10,spring,2011,January,2,no,monday,yes,1,0.12,0.1212,0.5,0.2239,0,3,3,2 - 3
213,2011-01-10,spring,2011,January,3,no,monday,yes,1,0.12,0.1212,0.5,0.2239,0,1,1,3 - 4
214,2011-01-10,spring,2011,January,4,no,monday,yes,1,0.1,0.1212,0.54,0.1343,1,2,3,4 - 5
215,2011-01-10,spring,2011,January,5,no,monday,yes,1,0.1,0.1061,0.54,0.2537,0,3,3,5 - 6
216,2011-01-10,spring,2011,January,6,no,monday,yes,1,0.12,0.1212,0.5,0.2836,0,31,31,6 - 7
217,2011-01-10,spring,2011,January,7,no,monday,yes,1,0.12,0.1212,0.5,0.2239,2,75,77,7 - 8
218,2011-01-10,spring,2011,January,8,no,monday,yes,2,0.12,0.1212,0.5,0.2836,4,184,188,8 - 9
219,2011-01-10,spring,2011,January,9,no,monday,yes,2,0.14,0.1212,0.5,0.2537,2,92,94,9 - 10
220,2011-01-10,spring,2011,January,10,no,monday,yes,2,0.14,0.1212,0.5,0.2985,0,31,31,10 - 11
221,2011-01-10,spring,2011,January,11,no,monday,yes,2,0.16,0.1364,0.47,0.2836,2,28,30,11 - 12
222,2011-01-10,spring,2011,January,12,no,monday,yes,2,0.2,0.1818,0.4,0.2836,5,47,52,12 - 13
223,2011-01-10,spring,2011,January,13,no,monday,yes,2,0.2,0.1818,0.4,0.2836,4,50,54,13 - 14
224,2011-01-10,spring,2011,January,14,no,monday,yes,2,0.2,0.197,0.4,0.2239,0,47,47,14 - 15
225,2011-01-10,spring,2011,January,15,no,monday,yes,2,0.2,0.197,0.4,0.2239,2,43,45,15 - 16
226,2011-01-10,spring,2011,January,16,no,monday,yes,1,0.2,0.2121,0.4,0.1343,4,70,74,16 - 17
227,2011-01-10,spring,2011,January,17,no,monday,yes,1,0.2,0.2273,0.4,0.1045,4,174,178,17 - 18
228,2011-01-10,spring,2011,January,18,no,monday,yes,1,0.2,0.197,0.4,0.2239,1,154,155,18 - 19
229,2011-01-10,spring,2011,January,19,no,monday,yes,1,0.16,0.1667,0.47,0.1642,3,92,95,19 - 20
230,2011-01-10,spring,2011,January,20,no,monday,yes,1,0.16,0.1667,0.5,0.1642,1,73,74,20 - 21
231,2011-01-10,spring,2011,January,21,no,monday,yes,1,0.14,0.1364,0.59,0.194,1,37,38,21 - 22
232,2011-01-10,spring,2011,January,22,no,monday,yes,1,0.14,0.1515,0.59,0.1642,2,22,24,22 - 23
233,2011-01-10,spring,2011,January,23,no,monday,yes,1,0.14,0.1515,0.59,0.1642,0,18,18,23 - 24
234,2011-01-11,spring,2011,January,0,no,tuesday,yes,1,0.14,0.1667,0.59,0.1045,2,10,12,0 - 1
